iata,name,lat,lon,country,continent,region
AAA,Anaa Airport,-17.3526,-145.51,PF,OC,EU
AAC,El Arish International Airport,31.0553,33.828,EG,AS,OTHER
AAE,Annaba Rabah Bitat Airport,36.8268,7.8133,DZ,AF,OTHER
AAL,Aalborg Airport,57.0948,9.8499,DK,EU,EU
AAM,Malamala Airport,-24.8169,31.5441,ZA,AF,OTHER
AAN,Al Ain International Airport,24.2617,55.6092,AE,AS,OTHER
AAO,Anaco Airport,9.4302,-64.4707,VE,SA,OTHER
AAP,Aji Pangeran Tumenggung Pranoto International Airport,-0.3745,117.2501,ID,AS,OTHER
AAQ,Anapa Vityazevo Airport,45.0021,37.3473,RU,EU,OTHER
AAR,Aarhus Airport,56.3033,10.6183,DK,EU,EU
AAT,Altay Xuedu Airport,47.7499,88.0858,CN,AS,OTHER
AAV,Allah Valley Airport,6.3679,124.7524,PH,AS,OTHER
AAX,Romeu Zema Airport,-19.5632,-46.9604,BR,SA,OTHER
AAY,Al Ghaydah International Airport,16.1933,52.1742,YE,AS,OTHER
ABA,Abakan International Airport,53.74,91.385,RU,AS,OTHER
ABB,Asaba International Airport,6.2042,6.6653,NG,AF,OTHER
ABC,Albacete Airport / Los Llanos Air Base,38.9485,-1.8635,ES,EU,EU
ABD,Abadan Ayatollah Jami International Airport,30.3679,48.2301,IR,AS,OTHER
ABE,Lehigh Valley International Airport,40.6518,-75.4428,US,NA,OTHER
ABI,Abilene Regional Airport,32.4113,-99.6819,US,NA,OTHER
ABJ,Félix-Houphouët-Boigny International Airport,5.2614,-3.9263,CI,AF,OTHER
ABK,Kebri Dahar Airport,6.7326,44.2413,ET,AF,OTHER
ABL,Ambler Airport,67.1055,-157.8553,US,NA,OTHER
ABQ,Albuquerque International Sunport,35.04,-106.6089,US,NA,OTHER
ABR,Aberdeen Regional Airport,45.4491,-98.4218,US,NA,OTHER
ABS,Abu Simbel Airport,22.3759,31.6117,EG,AF,OTHER
ABT,King Saud Bin Abdulaziz (Al Baha) Airport,20.2985,41.6362,SA,AS,OTHER
ABV,Nnamdi Azikiwe International Airport,9.0068,7.2632,NG,AF,OTHER
ABX,Albury Airport,-36.0668,146.9591,AU,OC,OTHER
ABY,Southwest Georgia Regional Airport,31.5329,-84.1962,US,NA,OTHER
ABZ,Aberdeen International Airport,57.2019,-2.1978,GB,EU,EU
ACA,General Juan N. Álvarez International Airport,16.7571,-99.7531,MX,NA,OTHER
ACC,Kotoka International Airport,5.6052,-0.1668,GH,AF,OTHER
ACE,César Manrique-Lanzarote Airport,28.9455,-13.6052,ES,AF,EU
ACH,Sankt Gallen Altenrhein Airport,47.485,9.5608,CH,EU,OTHER
ACI,Alderney Airport,49.7061,-2.2147,GG,EU,OTHER
ACJ,Anuradhapura Airport,8.3015,80.4285,LK,AS,OTHER
ACK,Nantucket Memorial Airport,41.2531,-70.0602,US,NA,OTHER
ACN,Ciudad Acuña International Airport,29.3337,-101.1006,MX,NA,OTHER
ACS,Achinsk Airport,56.2692,90.5751,RU,AS,OTHER
ACT,Waco Regional Airport,31.6113,-97.2305,US,NA,OTHER
ACV,California Redwood Coast-Humboldt County Airport,40.9781,-124.109,US,NA,OTHER
ACX,Xingyi Wanfenglin Airport,25.0834,104.9608,CN,AS,OTHER
ACY,Atlantic City International Airport,39.4562,-74.5775,US,NA,OTHER
ACZ,Zabol Airport,31.0983,61.5439,IR,AS,OTHER
ADA,Adana Şakirpaşa Airport,36.9822,35.2804,TR,AS,OTHER
ADB,Adnan Menderes International Airport,38.2924,27.157,TR,AS,OTHER
ADD,Addis Ababa Bole International Airport,8.9779,38.7993,ET,AF,OTHER
ADE,Aden International Airport,12.8296,45.03,YE,AS,OTHER
ADF,Adıyaman Airport,37.7314,38.4689,TR,AS,OTHER
ADI,Arandis Airport,-22.4619,14.9793,NA,AF,OTHER
ADJ,Marka International (Amman Civil) Airport,31.9727,35.9916,JO,AS,OTHER
ADK,Adak Airport,51.8836,-176.6428,US,NA,OTHER
ADL,Adelaide International Airport,-34.9475,138.5334,AU,OC,OTHER
ADP,Ampara Airport,7.3367,81.6239,LK,AS,OTHER
ADQ,Kodiak Airport,57.75,-152.494,US,NA,OTHER
ADT,Ada Regional Airport,34.8052,-96.672,US,NA,OTHER
ADU,Ardabil Airport,38.3257,48.4244,IR,AS,OTHER
ADW,Joint Base Andrews,38.8108,-76.867,US,NA,OTHER
ADX,Leuchars Station Airfield,56.374,-2.8689,GB,EU,EU
ADZ,Gustavo Rojas Pinilla International Airport,12.5836,-81.7112,CO,NA,OTHER
AEB,Baise (Bose) Bama Airport,23.7206,106.96,CN,AS,OTHER
AEG,Aek Godang Airport,1.4001,99.4305,ID,AS,OTHER
AEH,Abeche Airport,13.847,20.8443,TD,AF,OTHER
AEP,Aeroparque Jorge Newbery,-34.5594,-58.4155,AR,SA,OTHER
AER,Sochi International Airport,43.4499,39.9566,RU,EU,OTHER
AES,Ålesund Airport,62.5604,6.1108,NO,EU,EU
AEU,Abu Musa Island Airport,25.8757,55.033,IR,AS,OTHER
AEX,Alexandria International Airport,31.3258,-92.5467,US,NA,OTHER
AEY,Akureyri International Airport,65.6566,-18.072,IS,EU,EU
AFA,Suboficial Ay Santiago Germano Airport,-34.5883,-68.4039,AR,SA,OTHER
AFL,Piloto Osvaldo Marques Dias Airport,-9.8664,-56.1063,BR,SA,OTHER
AFW,Perot Field/Fort Worth Alliance Airport,32.9904,-97.3195,US,NA,OTHER
AFY,Afyon Air Base,38.7264,30.6011,TR,AS,OTHER
AFZ,Sabzevar National Airport,36.1681,57.5952,IR,AS,OTHER
AGA,Al Massira Airport,30.3225,-9.412,MA,AF,OTHER
AGB,Augsburg Airport,48.4253,10.9317,DE,EU,EU
AGC,Allegheny County Airport,40.3544,-79.9302,US,NA,OTHER
AGF,Agen La Garenne airport,44.1742,0.5931,FR,EU,EU
AGH,Ängelholm-Helsingborg Airport,56.2961,12.8471,SE,EU,EU
AGP,Málaga-Costa del Sol Airport,36.6749,-4.4991,ES,EU,EU
AGR,Agra Airport / Agra Air Force Station,27.158,77.961,IN,AS,OTHER
AGS,Augusta Regional At Bush Field,33.3699,-81.9645,US,NA,OTHER
AGT,Guaraní International Airport,-25.4572,-54.8395,PY,SA,OTHER
AGU,Aguascalientes International Airport,21.6996,-102.3184,MX,NA,OTHER
AGV,Oswaldo Guevara Mujica Airport,9.5534,-69.2379,VE,SA,OTHER
AGX,Agatti Airport,10.8237,72.176,IN,AS,OTHER
AGZ,Aggeneys Airport,-29.2818,18.8139,ZA,AF,OTHER
AHA,Maa Mahamaya Airport,22.9875,83.1961,IN,AS,OTHER
AHB,Abha International Airport,18.2404,42.6566,SA,AS,OTHER
AHE,Ahe Airport,-14.4281,-146.257,PF,OC,EU
AHJ,Hongyuan Airport,32.5315,102.3522,CN,AS,OTHER
AHN,Athens Ben Epps Airport,33.9488,-83.3256,US,NA,OTHER
AHO,Alghero-Fertilia Airport,40.6321,8.2908,IT,EU,EU
AHU,Cherif Al Idrissi Airport,35.1771,-3.8395,MA,AF,OTHER
AIA,Alliance Municipal Airport,42.0525,-102.804,US,NA,OTHER
AIN,Wainwright Airport,70.638,-159.995,US,NA,OTHER
AJA,Ajaccio Napoléon Bonaparte airport,41.9236,8.8029,FR,EU,EU
AJF,Al-Jawf International Airport,29.7833,40.1009,SA,AS,OTHER
AJI,Ağrı Airport,39.6556,43.0257,TR,AS,OTHER
AJL,Lengpui Airport,23.8406,92.6197,IN,AS,OTHER
AJN,Ouani Airport,-12.131,44.43,KM,AF,OTHER
AJR,Arvidsjaur Airport,65.5903,19.2819,SE,EU,EU
AJU,Aracaju - Santa Maria Airport,-10.9839,-37.0729,BR,SA,OTHER
AJY,Mano Dayak International Airport,16.966,8.0001,NE,AF,OTHER
AKC,Akron Fulton International Airport,41.0374,-81.4678,US,NA,OTHER
AKD,Akola Airport,20.6989,77.0569,IN,AS,OTHER
AKF,Kufra Airport,24.1787,23.314,LY,AF,OTHER
AKH,Prince Sultan Air Base,24.0627,47.5805,SA,AS,OTHER
AKJ,Asahikawa Airport,43.6708,142.447,JP,AS,OTHER
AKL,Auckland International Airport,-37.012,174.7863,NZ,OC,OTHER
AKN,King Salmon Airport,58.6778,-156.652,US,NA,OTHER
AKP,Anaktuvuk Pass Airport,68.1336,-151.743,US,NA,OTHER
AKR,Akure Airport,7.2467,5.301,NG,AF,OTHER
AKT,RAF Akrotiri,34.5904,32.9879,CY,AS,EU
AKU,Aksu Hongqipo Airport,41.2625,80.2917,CN,AS,OTHER
AKW,Aghajari Airport,30.7444,49.6772,IR,AS,OTHER
AKX,Aktobe International Airport,50.2481,57.2041,KZ,AS,OTHER
AKY,Sittwe Airport,20.1332,92.8707,MM,AS,OTHER
ALA,Almaty International Airport,43.3543,77.0428,KZ,AS,OTHER
ALB,Albany International Airport,42.7483,-73.8017,US,NA,OTHER
ALC,Alicante-Elche Miguel Hernández Airport,38.2822,-0.5582,ES,EU,EU
ALF,Alta Airport,69.9761,23.3717,NO,EU,EU
ALG,Houari Boumediene Airport,36.6939,3.2145,DZ,AF,OTHER
ALH,Albany Airport,-34.9433,117.8089,AU,OC,OTHER
ALI,Alice International Airport,27.7409,-98.0269,US,NA,OTHER
ALJ,Alexander Bay Airport,-28.575,16.5333,ZA,AF,OTHER
ALM,Alamogordo White Sands Regional Airport,32.8378,-105.9931,US,NA,OTHER
ALN,St Louis Regional Airport,38.8903,-90.046,US,NA,OTHER
ALO,Waterloo Regional Airport,42.5571,-92.4003,US,NA,OTHER
ALP,Aleppo International Airport,36.1813,37.2269,SY,AS,OTHER
ALR,Alexandra Aerodrome,-45.2105,169.3711,NZ,OC,OTHER
ALS,San Luis Valley Regional Airport/Bergman Field,37.4349,-105.867,US,NA,OTHER
ALW,Walla Walla Regional Airport,46.0949,-118.288,US,NA,OTHER
AMA,Rick Husband Amarillo International Airport,35.2179,-101.7064,US,NA,OTHER
AMD,Sardar Vallabh Patel International Airport,23.0772,72.6347,IN,AS,OTHER
AMH,Arba Minch Airport,6.0394,37.5905,ET,AF,OTHER
AMM,Queen Alia International Airport,31.7226,35.9932,JO,AS,OTHER
AMQ,Pattimura International Airport,-3.7103,128.089,ID,AS,OTHER
AMS,Amsterdam Airport Schiphol,52.3086,4.7639,NL,EU,EU
AMV,Amderma Airport,69.7633,61.5564,RU,AS,OTHER
AMZ,Ardmore Airport,-37.0297,174.973,NZ,OC,OTHER
ANB,Anniston Regional Airport,33.5882,-85.8581,US,NA,OTHER
ANC,Ted Stevens Anchorage International Airport,61.179,-149.9926,US,NA,OTHER
AND,Anderson Regional Airport,34.4946,-82.7094,US,NA,OTHER
ANE,Angers Marcé airport,47.5603,-0.3122,FR,EU,EU
ANF,Andrés Sabella Gálvez International Airport,-23.4453,-70.4452,CL,SA,OTHER
ANG,Angoulême Brie-Champniers airport,45.7292,0.2215,FR,EU,EU
ANI,Aniak Airport,61.5816,-159.543,US,NA,OTHER
ANK,Etimesgut Air Base,39.9498,32.6886,TR,AS,OTHER
ANM,Antsirabe Airport,-14.9994,50.3202,MG,AF,OTHER
ANN,Annette Island Airport,55.0377,-131.5726,US,NA,OTHER
ANR,Antwerp International Airport (Deurne),51.1907,4.4632,BE,EU,EU
ANU,V. C. Bird International Airport,17.1367,-61.7927,AG,NA,OTHER
ANV,Anvik Airport,62.6467,-160.191,US,NA,OTHER
